channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Wow Kidz Action
    ","20,200,000",Film & Animation,"8,800,690,036","2,024",2017,100
"
RS 1313 SHORTS
    ","15,400,000",Entertainment,"8,776,422,895","6,029",2020,101
"
Right to Shiksha
    ","13,900,000",Education,"8,691,651,113","2,300",2020,102
"
prashu__baby
    ","9,420,000",Entertainment,"8,646,709,991",940,2011,103
"
Harpreet SDC
    ","11,500,000",Entertainment,"8,601,972,905","2,373",2019,104
"
ABPLIVE
    ","26,300,000",People & Blogs,"8,589,885,715","195,423",2017,105
"
Infobells Bangla
    ","17,000,000",Education,"8,588,153,540",392,2016,106
"
Netflix India
    ","22,600,000",People & Blogs,"8,542,264,658","3,921",2016,107
"
deepesh zo
    ","20,000,000",People & Blogs,"8,378,919,405",680,2021,108
"
Raj Grover
    ","11,000,000",Entertainment,"8,362,586,997",541,2021,109
"
Busy Fun Ltd
    ","19,600,000",,"8,283,605,693",221,2019,110
"
Shemaroo Movies
    ","30,000,000",Entertainment,"8,239,138,114","3,157",2011,111
"
Sony LIV
    ","16,800,000",Entertainment,"8,214,074,036","13,751",2014,112
"
Crazy XYZ
    ","28,500,000",Entertainment,"8,180,991,813","1,297",2017,113
"
Saregama TV Shows Tamil
    ","7,470,000",People & Blogs,"8,163,152,107","21,405",2018,114
"
Fun For Kids TV - Hindi Rhymes
    ","18,400,000",Entertainment,"8,112,575,202",172,2017,115
"
Anand Audio
    ","11,100,000",Music,"8,110,527,060","5,200",2011,116
"
Pari's Lifestyle
    ","12,600,000",People & Blogs,"7,952,746,460",493,2018,117
"
Zee Kids
    ","13,000,000",Film & Animation,"7,945,825,365","1,231",2012,118
"
NTV Telugu
    ","7,770,000",News & Politics,"7,923,514,424","311,934",2014,119
"
Sonotek
    ","19,400,000",Entertainment,"7,724,793,839","8,318",2011,120
"
NMF News
    ","17,000,000",News & Politics,"7,699,654,989","117,842",2013,121
"
ETV Dhee
    ","10,500,000",People & Blogs,"7,686,542,657","4,663",2017,122
"
Kiddiestv Hindi - Nursery Rhymes & Kids Songs
    ","21,000,000",Education,"7,608,115,804",235,2017,123
"
Anupam Movie Songs
    ","11,500,000",Music,"7,560,346,746","3,088",2018,124
"
Paayal Tena Short Videos
    ","10,700,000",People & Blogs,"7,549,016,993",937,2021,125
"
mallemalatv
    ","8,510,000",Entertainment,"7,458,758,063","12,701",2014,126
"
CHANDAN ART ACADEMY
    ","10,000,000",Education,"7,394,101,070","1,833",2016,127
"
VikatanTV
    ","7,310,000",Shows,"7,248,407,610","21,231",2011,128
"
TeluguOne
    ","9,830,000",Comedy,"7,239,067,934","48,459",2006,129
"
LIV Comedy
    ","11,600,000",Entertainment,"7,092,295,915","11,699",2020,130
"
123 GO! Hindi
    ","10,700,000",Entertainment,"7,081,658,555",578,2019,131
"
Pen Movies
    ","25,300,000",Film & Animation,"7,046,563,183","1,672",2014,132
"
Ruh
    ","12,500,000",People & Blogs,"7,021,569,499","1,126",2021,133
"
infobells - Kannada
    ","15,000,000",Education,"7,006,973,253",468,2014,134
"
sagar kalra (Shorts)
    ","17,400,000",People & Blogs,"6,956,931,089",481,2017,135
"
SVF
    ","11,700,000",Music,"6,908,279,798","3,448",2006,136
"
Kids TV India Hindi Nursery Rhymes
    ","14,200,000",Shows,"6,889,952,531","1,657",2014,137
"
NDTV India
    ","15,400,000",News & Politics,"6,837,801,539","101,399",2008,138
"
Sangeeth Kumar
    ","10,600,000",People & Blogs,"6,810,493,362",798,2021,139
"
Mukesh jaiswal
    ","10,900,000",People & Blogs,"6,763,610,495","1,191",2017,140
"
Akash Parihar
    ","9,520,000",People & Blogs,"6,748,456,099",652,2021,141
"
Bihari Ladka
    ","11,400,000",Gaming,"6,718,206,411",588,2017,142
"
SagaHits
    ","12,000,000",Music,"6,598,444,826","3,038",2010,143
"
Voot
    ","8,770,000",People & Blogs,"6,581,933,667","25,221",2016,144
"
SRK MUSIC
    ","15,700,000",Music,"6,571,418,889","5,142",2012,145
"
Samayra Narula Official
    ","11,100,000",People & Blogs,"6,540,533,251","1,116",2020,146
"
Noman Official
    ","18,500,000",Comedy,"6,537,983,898",675,2019,147
"
Vikram Singh Fitness
    ","6,980,000",Sports,"6,492,181,749","9,361",2018,148
"
MY FAMILY
    ","16,300,000",,"6,480,524,374",297,2019,149
"
Village Cooking Channel
    ","23,000,000",Howto & Style,"6,457,926,664",220,2018,150
"
Enterr10 Rangeela
    ","12,800,000",Entertainment,"6,426,237,758","5,095",2017,151
"
Artist Shikha Sharma
    ","9,730,000",Entertainment,"6,409,086,919","1,562",2019,152
"
Paytm
    ","572,000",People & Blogs,"6,396,660,323",702,2013,153
"
Nirahua Music World
    ","12,400,000",Music,"6,381,031,046",819,2014,154
"
Zee 24 Taas
    ","8,040,000",News & Politics,"6,355,707,308","322,957",2010,155
"
asianetnews
    ","8,430,000",News & Politics,"6,324,185,114","238,249",2008,156
"
Mor Haryanvi
    ","12,200,000",Music,"6,297,260,135",414,2015,157
"
Shalimar Telugu & Hindi Movies
    ","8,350,000",Entertainment,"6,253,072,817","81,331",2013,158
"
ADHARV & COUSINS JOURNEY
    ","6,330,000",Entertainment,"6,240,555,205",981,2020,159
"
T-Series Telugu
    ","8,720,000",Music,"6,173,303,998","6,164",2014,160
"
Jass Records
    ","13,000,000",Music,"6,160,413,159","5,301",2014,161
"
Galatta Tamil | à®à®²à®¾à®à¯à®à®¾ à®¤à®®à®¿à®´à¯
    ","7,700,000",Entertainment,"6,154,224,162","72,426",2010,162
"
Ankita Bhawsar
    ","12,200,000",People & Blogs,"6,135,677,049",723,2017,163
"
Shivam Malik
    ","8,820,000",Education,"6,091,338,786","5,435",2012,164
"
Sidharrth TV
    ","8,200,000",Entertainment,"6,041,553,882","16,424",2016,165
"
MR. INDIAN HACKER
    ","33,600,000",Science & Technology,"6,025,419,473",948,2012,166
"
Asli Mona Official
    ","11,500,000",Comedy,"6,021,221,447",848,2021,167
"
Priyankka Tyagi
    ","9,890,000",Comedy,"5,969,142,692",717,2021,168
"
Colors Bangla
    ","10,000,000",Entertainment,"5,898,691,356","53,541",2010,169
"
Total Gaming
    ","36,800,000",Gaming,"5,842,869,787","1,259",2018,170
"
Venus Entertainment
    ","24,700,000",Entertainment,"5,820,526,993","1,942",2010,171
"
Kanak News
    ","7,160,000",News & Politics,"5,746,340,427","234,110",2011,172
"
Oggy Hindi - à¤¹à¤¿à¤¨à¥à¤¦à¥
    ","10,800,000",Entertainment,"5,746,123,373",501,2019,173
"
Palli Gram TV
    ","8,820,000",,"5,744,243,147",335,2017,174
"
Ketan mehta
    ","8,960,000",People & Blogs,"5,684,922,091","1,072",2020,175
"
Suyash Vlogs
    ","5,480,000",Entertainment,"5,657,692,293","1,677",2015,176
"
Peppa Pig Hindi
    ","11,900,000",Film & Animation,"5,644,193,632",983,2018,177
"
Goldmines Great Indian Comedy
    ","20,500,000",Film & Animation,"5,626,836,093","3,438",2016,178
"
PuthiyathalaimuraiTV
    ","9,980,000",News & Politics,"5,584,193,701","289,956",2012,179
"
Pradeep life vlogs
    ","11,500,000",Entertainment,"5,576,682,796",862,2016,180
"
aman dancer real
    ","10,700,000",Entertainment,"5,473,234,912",396,2020,181
"
Dharma Productions
    ","10,600,000",Film & Animation,"5,465,827,132","1,454",2010,182
"
RS 1313 LIVE
    ","7,070,000",Gaming,"5,461,705,171","7,944",2020,183
"
Awez Darbar
    ","11,700,000",Entertainment,"5,444,176,675",850,2014,184
"
à¤®à¤¾à¤¶à¤¾ à¤à¤à¤¡ à¤¦ à¤¬à¥à¤¯à¤°
    ","12,300,000",Film & Animation,"5,441,465,270","1,052",2017,185
"
INDIA EAT MANIA
    ","6,120,000",Entertainment,"5,416,260,884","1,853",2019,186
"
Sathiyam News
    ","5,820,000",News & Politics,"5,396,489,072","214,136",2015,187
"
T-Series Regional
    ","14,400,000",Entertainment,"5,387,005,917","15,088",2011,188
"
Adaah Queen
    ","13,400,000",Entertainment,"5,358,628,687",509,2020,189
"
ChuChuTV Hindi
    ","11,800,000",Education,"5,353,267,515",388,2018,190
"
Chimkandi
    ","11,400,000",Comedy,"5,349,106,672",364,2016,191
"
Gauravaroravlogs 
    ","5,960,000",Entertainment,"5,320,795,959","1,410",2015,192
"
LIV Kids Hindi
    ","9,030,000",Education,"5,318,476,052","2,265",2016,193
"
infobells
    ","14,000,000",Education,"5,315,794,604",524,2011,194
"
Kurulus Osman Urdu by atv
    ","7,890,000",Entertainment,"5,307,034,885","6,786",2021,195
"
Jugnu Kids - Nursery Rhymes and Best Baby Songs
    ","12,800,000",Education,"5,303,829,403","4,880",2015,196
"
Wave Music Bhakti 
    ","12,800,000",Music,"5,264,541,438","20,187",2011,197
"
Foodie Incarnate
    ","5,450,000",People & Blogs,"5,261,588,465",967,2016,198
"
Ayan Mechanic
    ","5,040,000",Science & Technology,"5,225,294,676","1,387",2020,199
"
zoom
    ","7,460,000",Entertainment,"5,217,835,985","92,837",2007,200
"
NDTV
    ","12,800,000",Entertainment,"5,205,745,862","159,051",2006,201
"
NEXT9NEWS à¤¹à¤° à¤à¤¬à¤° à¤à¤ª à¤¤à¤
    ","11,500,000",Entertainment,"5,188,726,576","144,559",2014,202
"
VYRLOriginals
    ","12,000,000",Music,"5,154,981,751",256,2015,203
"
RDC Gujarati
    ","11,800,000",Music,"5,099,520,450","8,846",2013,204
"
ARE YOU HUNGRY
    ","7,400,000",Entertainment,"5,085,768,479","1,007",2020,205
"
Bindass Kavya
    ","11,000,000",,"5,083,647,177",668,2017,206
"
MyMissAnand
    ","13,700,000",People & Blogs,"5,069,639,750",356,2014,207
"
utkal cartoonworld
    ","7,630,000",,"5,054,072,935",642,2008,208
"
Rathore Cassettes
    ","12,600,000",Music,"5,053,473,307","5,907",2013,209
"
seeVi la
    ","4,850,000",Comedy,"5,050,845,265","4,232",2015,210
"
Hungry Birds
    ","9,470,000",Education,"5,048,132,174",504,2016,211
"
Sonam Prajapati team
    ","9,000,000",People & Blogs,"5,001,030,469","1,498",2019,212
"
Telugu Filmnagar
    ","12,400,000",Entertainment,"4,998,676,532","28,257",2011,213
"
UP Tak
    ","9,030,000",News & Politics,"4,991,795,876","43,147",2018,214
"
Taarak Mehta Ka Ooltah Chashmah Episodes
    ","3,040,000",Comedy,"4,979,248,469","9,559",2020,215
"
RKD Studios
    ","20,700,000",Entertainment,"4,950,536,878",834,2014,216
"
Saregama Hum Bhojpuri
    ","12,500,000",Music,"4,923,047,356","1,269",2019,217
"
CHINNU_6542
    ","5,570,000",Entertainment,"4,901,089,257",867,2015,218
"
IndiaGlitz Tamil
    ","6,750,000",Entertainment,"4,897,786,989","42,254",2010,219
"
Saas Bahu Aur Betiyaan
    ","6,690,000",People & Blogs,"4,891,215,046","40,942",2015,220
"
Crafter Aditi
    ","10,200,000",Howto & Style,"4,878,600,741","1,145",2014,221
"
Sandeep Bhatt Vlogs
    ","7,800,000",People & Blogs,"4,861,779,574","1,067",2020,222
"
ChuChuTV Learning with Surprise Eggs
    ","8,240,000",Education,"4,846,549,744",315,2015,223
"
BB Ki Vines
    ","26,400,000",Entertainment,"4,841,139,164",191,2015,224
"
Gem Tunes Haryanvi
    ","2,820,000",Entertainment,"4,831,576,604",825,2017,225
